"xDomain","p","participant","condition"
-4,0.9262,"AB14","twoStreams"
-3,0.9246,"AB14","twoStreams"
-2,0.1186,"AB14","twoStreams"
-1,0.0026,"AB14","twoStreams"
0,0,"AB14","twoStreams"
1,0,"AB14","twoStreams"
2,0.7328,"AB14","twoStreams"
3,0.9248,"AB14","twoStreams"
4,1,"AB14","twoStreams"
-4,0.6112,"BN12","twoStreams"
-3,0.8156,"BN12","twoStreams"
-2,0.962,"BN12","twoStreams"
-1,0.8228,"BN12","twoStreams"
0,0,"BN12","twoStreams"
1,0,"BN12","twoStreams"
2,0.0364,"BN12","twoStreams"
3,0.5906,"BN12","twoStreams"
4,1,"BN12","twoStreams"
-4,0.9898,"EF6","twoStreams"
-3,0.9908,"EF6","twoStreams"
-2,0.989,"EF6","twoStreams"
-1,0.6656,"EF6","twoStreams"
0,0.4658,"EF6","twoStreams"
1,0.2918,"EF6","twoStreams"
2,0,"EF6","twoStreams"
3,0,"EF6","twoStreams"
4,0.0352,"EF6","twoStreams"
-4,0.8932,"FC21","twoStreams"
-3,1,"FC21","twoStreams"
-2,1,"FC21","twoStreams"
-1,0.3772,"FC21","twoStreams"
0,0,"FC21","twoStreams"
1,0,"FC21","twoStreams"
2,0.8926,"FC21","twoStreams"
3,0.3732,"FC21","twoStreams"
4,1,"FC21","twoStreams"
-4,1,"GR13","twoStreams"
-3,0.844,"GR13","twoStreams"
-2,1,"GR13","twoStreams"
-1,0.633,"GR13","twoStreams"
0,0,"GR13","twoStreams"
1,0,"GR13","twoStreams"
2,0.0016,"GR13","twoStreams"
3,0.965,"GR13","twoStreams"
4,0.831,"GR13","twoStreams"
-4,0.8818,"HT5","twoStreams"
-3,1,"HT5","twoStreams"
-2,0.715,"HT5","twoStreams"
-1,0.885,"HT5","twoStreams"
0,0.1566,"HT5","twoStreams"
1,0,"HT5","twoStreams"
2,0,"HT5","twoStreams"
3,2e-04,"HT5","twoStreams"
4,0.0684,"HT5","twoStreams"
-4,0.88,"JW8","twoStreams"
-3,0.1592,"JW8","twoStreams"
-2,0.4992,"JW8","twoStreams"
-1,0.493,"JW8","twoStreams"
0,0,"JW8","twoStreams"
1,0,"JW8","twoStreams"
2,0,"JW8","twoStreams"
3,0.0032,"JW8","twoStreams"
4,0.3,"JW8","twoStreams"
-4,1,"KH18","twoStreams"
-3,0.7282,"KH18","twoStreams"
-2,1,"KH18","twoStreams"
-1,1,"KH18","twoStreams"
0,0,"KH18","twoStreams"
1,0,"KH18","twoStreams"
2,0.0148,"KH18","twoStreams"
3,1,"KH18","twoStreams"
4,0.9262,"KH18","twoStreams"
-4,0.5614,"MC10","twoStreams"
-3,0.8496,"MC10","twoStreams"
-2,1,"MC10","twoStreams"
-1,2e-04,"MC10","twoStreams"
0,0,"MC10","twoStreams"
1,0,"MC10","twoStreams"
2,0.2844,"MC10","twoStreams"
3,1,"MC10","twoStreams"
4,0.8518,"MC10","twoStreams"
-4,1,"NC21","twoStreams"
-3,0.7744,"NC21","twoStreams"
-2,1,"NC21","twoStreams"
-1,0.779,"NC21","twoStreams"
0,0,"NC21","twoStreams"
1,0,"NC21","twoStreams"
2,0,"NC21","twoStreams"
3,0.0226,"NC21","twoStreams"
4,0.7762,"NC21","twoStreams"
-4,0.7944,"RL11","twoStreams"
-3,0.95,"RL11","twoStreams"
-2,0.5466,"RL11","twoStreams"
-1,6e-04,"RL11","twoStreams"
0,0,"RL11","twoStreams"
1,0,"RL11","twoStreams"
2,0.3314,"RL11","twoStreams"
3,0.5412,"RL11","twoStreams"
4,1,"RL11","twoStreams"
-4,0.9652,"SH20","twoStreams"
-3,1,"SH20","twoStreams"
-2,1,"SH20","twoStreams"
-1,0.4248,"SH20","twoStreams"
0,0,"SH20","twoStreams"
1,0,"SH20","twoStreams"
2,0,"SH20","twoStreams"
3,0.9666,"SH20","twoStreams"
4,0.6592,"SH20","twoStreams"
-4,0.986,"ZZ9","twoStreams"
-3,0.9212,"ZZ9","twoStreams"
-2,0.2418,"ZZ9","twoStreams"
-1,0.1214,"ZZ9","twoStreams"
0,6e-04,"ZZ9","twoStreams"
1,0,"ZZ9","twoStreams"
2,0,"ZZ9","twoStreams"
3,0.023,"ZZ9","twoStreams"
4,0.2166,"ZZ9","twoStreams"
-4,0.87,"AB14","eightStreams"
-3,0.8684,"AB14","eightStreams"
-2,1,"AB14","eightStreams"
-1,0.3182,"AB14","eightStreams"
0,0,"AB14","eightStreams"
1,0,"AB14","eightStreams"
2,1,"AB14","eightStreams"
3,0.8646,"AB14","eightStreams"
4,0.8676,"AB14","eightStreams"
-4,0.7918,"BN12","eightStreams"
-3,0.9526,"BN12","eightStreams"
-2,0.7924,"BN12","eightStreams"
-1,0.948,"BN12","eightStreams"
0,0,"BN12","eightStreams"
1,0,"BN12","eightStreams"
2,0.0098,"BN12","eightStreams"
3,0.5462,"BN12","eightStreams"
4,1,"BN12","eightStreams"
-4,0.9894,"EF6","eightStreams"
-3,0.938,"EF6","eightStreams"
-2,0.8246,"EF6","eightStreams"
-1,0.8324,"EF6","eightStreams"
0,0.6494,"EF6","eightStreams"
1,0.0776,"EF6","eightStreams"
2,0.005,"EF6","eightStreams"
3,2e-04,"EF6","eightStreams"
4,6e-04,"EF6","eightStreams"
-4,0.5094,"FC21","eightStreams"
-3,0.9418,"FC21","eightStreams"
-2,0.76,"FC21","eightStreams"
-1,0.7542,"FC21","eightStreams"
0,0,"FC21","eightStreams"
1,0,"FC21","eightStreams"
2,0.0016,"FC21","eightStreams"
3,0.499,"FC21","eightStreams"
4,0.7636,"FC21","eightStreams"
-4,0.8944,"GR13","eightStreams"
-3,0.8886,"GR13","eightStreams"
-2,0.8938,"GR13","eightStreams"
-1,0.0304,"GR13","eightStreams"
0,0,"GR13","eightStreams"
1,0,"GR13","eightStreams"
2,0,"GR13","eightStreams"
3,0.8926,"GR13","eightStreams"
4,0.9778,"GR13","eightStreams"
-4,0.9204,"HT5","eightStreams"
-3,0.8004,"HT5","eightStreams"
-2,0.7962,"HT5","eightStreams"
-1,0.6052,"HT5","eightStreams"
0,0.0236,"HT5","eightStreams"
1,2e-04,"HT5","eightStreams"
2,0,"HT5","eightStreams"
3,0,"HT5","eightStreams"
4,0.4114,"HT5","eightStreams"
-4,0.9854,"JW8","eightStreams"
-3,0.9884,"JW8","eightStreams"
-2,0.9882,"JW8","eightStreams"
-1,0.626,"JW8","eightStreams"
0,0.1368,"JW8","eightStreams"
1,0,"JW8","eightStreams"
2,0,"JW8","eightStreams"
3,0,"JW8","eightStreams"
4,0.6228,"JW8","eightStreams"
-4,1,"KH18","eightStreams"
-3,1,"KH18","eightStreams"
-2,1,"KH18","eightStreams"
-1,0.8014,"KH18","eightStreams"
0,0.0016,"KH18","eightStreams"
1,0,"KH18","eightStreams"
2,0,"KH18","eightStreams"
3,0.5776,"KH18","eightStreams"
4,0.8072,"KH18","eightStreams"
-4,0.7352,"MC10","eightStreams"
-3,1,"MC10","eightStreams"
-2,0.4898,"MC10","eightStreams"
-1,1,"MC10","eightStreams"
0,0.0016,"MC10","eightStreams"
1,0,"MC10","eightStreams"
2,2e-04,"MC10","eightStreams"
3,1,"MC10","eightStreams"
4,0.1192,"MC10","eightStreams"
-4,1,"NC21","eightStreams"
-3,0.9662,"NC21","eightStreams"
-2,0.8474,"NC21","eightStreams"
-1,0.427,"NC21","eightStreams"
0,6e-04,"NC21","eightStreams"
1,0,"NC21","eightStreams"
2,0,"NC21","eightStreams"
3,0.0188,"NC21","eightStreams"
4,0.9692,"NC21","eightStreams"
-4,0.8652,"RL11","eightStreams"
-3,1,"RL11","eightStreams"
-2,1,"RL11","eightStreams"
-1,0.1284,"RL11","eightStreams"
0,0,"RL11","eightStreams"
1,0,"RL11","eightStreams"
2,0.0078,"RL11","eightStreams"
3,0.8716,"RL11","eightStreams"
4,1,"RL11","eightStreams"
-4,1,"SH20","eightStreams"
-3,0.9832,"SH20","eightStreams"
-2,0.9824,"SH20","eightStreams"
-1,0.5398,"SH20","eightStreams"
0,0,"SH20","eightStreams"
1,0,"SH20","eightStreams"
2,2e-04,"SH20","eightStreams"
3,0.1872,"SH20","eightStreams"
4,0.98,"SH20","eightStreams"
-4,1,"ZZ9","eightStreams"
-3,0.9266,"ZZ9","eightStreams"
-2,0.2482,"ZZ9","eightStreams"
-1,0.4146,"ZZ9","eightStreams"
0,0.597,"ZZ9","eightStreams"
1,0,"ZZ9","eightStreams"
2,0,"ZZ9","eightStreams"
3,0,"ZZ9","eightStreams"
4,0.1292,"ZZ9","eightStreams"
5,1,"AB14","twoStreams"
5,1,"BN12","twoStreams"
5,0.0014,"EF6","twoStreams"
5,0.64,"FC21","twoStreams"
5,0.6348,"GR13","twoStreams"
5,0.5006,"HT5","twoStreams"
5,0.9736,"JW8","twoStreams"
5,0.7332,"KH18","twoStreams"
5,1,"MC10","twoStreams"
5,1,"NC21","twoStreams"
5,1,"RL11","twoStreams"
5,0.6496,"SH20","twoStreams"
5,0.5966,"ZZ9","twoStreams"
5,1,"AB14","eightStreams"
5,0.7958,"BN12","eightStreams"
5,0.0406,"EF6","eightStreams"
5,0.5078,"FC21","eightStreams"
5,0.3192,"GR13","eightStreams"
5,0.2416,"HT5","eightStreams"
5,0.8102,"JW8","eightStreams"
5,0.9512,"KH18","eightStreams"
5,0.7464,"MC10","eightStreams"
5,0.8554,"NC21","eightStreams"
5,1,"RL11","eightStreams"
5,1,"SH20","eightStreams"
5,0.9326,"ZZ9","eightStreams"
