"X","participant","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model","BF","favouredModel"
1,"EL",2,0.787210776785547,2.07290852787913,0.408254347902107,189.163774846178,319.507685696507,3.19165305464915e-56,"Gamma",443698.325015691,"Normal"
2,"FJ",2,0.624775612496351,1.83749419254064,0.680980237598965,250.556174366746,323.291441939344,2.49894955034281e-31,"Gamma",11081.7960397476,"Normal"
3,"JA",2,0.837388858061518,2.26583729736747,0.394984238257355,171.578610456697,318.121440498808,3.12010483926273e-63,"Gamma",4.06298746684014,"Normal"
4,"JB",2,0.554372801154987,4.90753898211173,0.112901786724202,238.720974202597,321.293713527651,1.4210018749337e-35,"Gamma",44966919057533.8,"Normal"
5,"JC",2,0.795804146755634,3.58495031420361,0.189824899797533,171.491600463638,322.599749160931,3.29680923884548e-65,"Gamma",1.38363438600611,"Neither"
6,"JD",2,0.588378403625247,1.18864497391059,0.554755881453931,239.270252400558,319.031914546374,2.32273531316251e-34,"Gamma",8544203.11354255,"Normal"
7,"JE",2,0.759963935336073,5,0.111210644055197,175.958893132436,319.026989307153,9.95523841022099e-62,"Gamma",1359686.00621941,"Normal"
8,"JF",2,0.802803697475558,1.72170531466795,0.489826629128315,184.555322114658,318.403882470862,9.72039871504029e-58,"Gamma",358.379418522013,"Normal"
9,"JG",2,0.68106905183687,1.35517559802834,0.383680806285147,209.028648720878,321.547671522601,1.635288915193e-48,"Gamma",5761655.4366549,"Normal"
10,"JH",2,0.62868811797634,1.50015300837046,0.438458821618499,227.388373694592,318.92132059931,1.92018569181022e-39,"Gamma",19033254370448376,"Normal"
11,"JI",2,0.523418141688902,1.96992303265184,0.386265854262593,259.910071937336,325.480338782823,3.07098762802084e-28,"Gamma",4470.28236304512,"Normal"
12,"JJ",2,0.694306169494027,1.42644131291574,0.436516799847169,212.152101621169,322.437206699193,1.51166884612823e-47,"Gamma",351048214.429958,"Normal"
13,"JK",2,0.488376695647547,1.5667763985214,0.774743763825093,275.409504263693,322.132633530049,3.98289569760147e-20,"Gamma",23163.3153583328,"Normal"
14,"JL",2,0.77141381336181,3.62790191063882,0.115152819124277,166.055519169327,319.044670109504,5.05654413642067e-66,"Gamma",115885.062506454,"Normal"
15,"JM",2,0.513044438288712,1.5442135457515,0.3255104002373,253.322547791835,324.091812677717,1.76081075318622e-30,"Gamma",53842.0442057983,"Normal"
16,"JN",2,0.439148310995149,3.75601833268254,0.208314523457066,272.915912964647,327.572015683218,1.54294489670849e-23,"Gamma",5824.35790890381,"Normal"
17,"JO",2,0.598518649109317,1.96912716457067,0.377805626516941,236.489579236834,320.031153022071,5.42423142471656e-36,"Gamma",18333.9968086794,"Normal"
18,"JP",2,0.581059577108408,0.983560226677759,1.17069188048643,264.253985647437,324.480215134809,6.16581413327697e-26,"Gamma",0.157454351060039,"Gamma"
19,"JQ",2,0.78991868250705,2.24859811034826,0.350372673696367,181.903738422463,318.535767683184,6.07121497848074e-59,"Gamma",19.8459622133502,"Normal"
20,"JR",2,0.38744170133911,1.32425537648237,0.604005974154419,293.946524327777,330.3744483626,1.0436833207674e-15,"Gamma",3.19734669980022,"Normal"
21,"JS",2,0.211394269597802,2.3368342842276,0.319442565257874,315.089948145276,329.482783096793,2.48409976512155e-06,"Gamma",1.09344797142563,"Neither"
22,"JT",2,0.465890961377932,3.84230136161439,0.224816075547282,265.718081403587,325.921976422131,6.30392341594044e-26,"Gamma",6.07596603228681,"Normal"
23,"LS",2,0.615459908942474,2.32957858477949,0.419515601153668,243.935769887895,326.271988096765,1.79762458284992e-35,"Gamma",7.59850898628374,"Normal"
24,"PG",2,0.599879311102472,4.20196725557718,0.133705925679529,224.884277894124,318.857641000824,1.69487224469256e-40,"Gamma",6.5488142794916e+19,"Normal"
25,"SY",2,0.450197811982034,2.45333734430256,0.325154105155823,272.033228497014,323.839325529322,2.59821990458625e-22,"Gamma",11541326.7311483,"Normal"
26,"WC",2,0.38067332301487,2.57110942729615,0.239214855001047,286.341780580875,328.046634146446,5.69477791183971e-18,"Gamma",145948.966060262,"Normal"
27,"EL",2,0.887858631689842,0.644712750495531,0.828994427335328,176.160874683856,319.507685696507,7.54096711997397e-62,"Normal",443698.325015691,"Normal"
28,"FJ",2,0.740275181438504,0.913581400294358,1.17224605223995,241.243115322131,323.291441939344,2.39319024358934e-35,"Normal",11081.7960397476,"Normal"
29,"JA",2,0.849707577663065,0.832932429706853,0.641114221421328,170.176691924402,318.121440498808,7.71573483252647e-64,"Normal",4.06298746684014,"Normal"
30,"JB",2,0.829686503485801,0.21740484535202,0.993163173542773,207.284025999295,321.293713527651,3.70714885344118e-49,"Normal",44966919057533.8,"Normal"
31,"JC",2,0.803911458882854,0.653944754411181,0.457616489853519,171.166886813303,322.599749160931,2.38525900452847e-65,"Normal",1.38363438600611,"Neither"
32,"JD",2,0.756168037387277,0.259094878828068,0.981291352842595,223.309488788006,319.031914546374,2.97503173981938e-41,"Normal",8544203.11354255,"Normal"
33,"JE",2,0.873926542638326,0.347439268813927,0.623991440695057,161.83612877916,319.026989307153,7.67220616899707e-68,"Normal",1359686.00621941,"Normal"
34,"JF",2,0.855479946624842,0.659417763753592,0.759156044542536,178.673729861205,318.403882470862,2.77084149462999e-60,"Normal",358.379418522013,"Normal"
35,"JG",2,0.799677646279683,0.258292069579565,0.684516343795455,193.461913327301,321.547671522601,3.02658584415898e-55,"Normal",5761655.4366549,"Normal"
36,"JH",2,0.912552779970671,0.151278860749531,1.12130241121728,189.903409620359,318.92132059931,1.19587740184302e-55,"Normal",19033254370448376,"Normal"
37,"JI",2,0.655929046005493,0.421971604863434,0.969057165321533,251.504865083257,325.480338782823,7.29063089042522e-32,"Normal",4470.28236304512,"Normal"
38,"JJ",2,0.83866674399847,0.324097498825991,0.803131560153597,192.475667486124,322.437206699193,4.67137210708682e-56,"Normal",351048214.429958,"Normal"
39,"JK",2,0.756861581532206,0.550965364639014,1.95570368973507,265.359179192064,322.132633530049,1.89193099965512e-24,"Normal",23163.3153583328,"Normal"
40,"JL",2,0.860643649563146,0.191370998002059,0.527522314978596,154.395165030907,319.044670109504,4.52560515313119e-71,"Normal",115885.062506454,"Normal"
41,"JM",2,0.631714229173237,0.189207723412562,0.723599554392299,242.428737860076,324.091812677717,3.50978260262834e-35,"Normal",53842.0442057983,"Normal"
42,"JN",2,0.607783985772843,0.357136603848045,0.983113727166972,264.24610892252,327.572015683218,2.84802125208923e-27,"Normal",5824.35790890381,"Normal"
43,"JO",2,0.711065198105306,0.488167430881981,0.840588651326547,226.673066872378,320.031153022071,3.12562542312078e-40,"Normal",18333.9968086794,"Normal"
44,"JP",2,0.588038651727148,0.908839607106259,1.02431947541437,266.102605344703,324.480215134809,3.85635908465757e-25,"Normal",0.157454351060039,"Gamma"
45,"JQ",2,0.822394546981467,0.682918369487019,0.638370382708416,178.915737850966,318.535767683184,3.0921987954495e-60,"Normal",19.8459622133502,"Normal"
46,"JR",2,0.416741259490686,0.596445045153567,0.778187095165198,292.784203018224,330.3744483626,3.31453133419699e-16,"Normal",3.19734669980022,"Normal"
47,"JS",2,0.218929076497088,0.675458266037975,0.598732831167406,315.000612165131,329.482783096793,2.27839995842915e-06,"Normal",1.09344797142563,"Neither"
48,"JT",2,0.588353333849696,0.604487596509789,0.952398174927032,263.913740409342,325.921976422131,1.05270217564816e-26,"Normal",6.07596603228681,"Normal"
49,"LS",2,0.650417798692588,0.866459982616515,0.751184673383183,241.907817845865,326.271988096765,2.39437348933238e-36,"Normal",7.59850898628374,"Normal"
50,"PG",2,0.905592404222478,0.0374473009631791,0.935705087475438,179.255877120009,318.857641000824,3.14899520622137e-60,"Normal",6.5488142794916e+19,"Normal"
51,"SY",2,0.651957271567481,0.290162212447947,1.07927536254136,255.771783716541,323.839325529322,2.57467864606146e-29,"Normal",11541326.7311483,"Normal"
52,"WC",2,0.547338611708278,0.137956267778767,0.946355503733598,274.450768288823,328.046634146446,4.41192628774142e-23,"Normal",145948.966060262,"Normal"
