"","participant","nStreams","efficacy","latency","precision"
"1","AJ7","twoStreams",0.78497404659506,37.1920516902537,107.462742676136
"2","AN14","twoStreams",0.722752614710934,66.095961128154,76.1528502324479
"3","BB6","twoStreams",0.860640922346372,28.1414774164778,64.7092416374583
"4","IK4","twoStreams",0.811422702606905,73.8176230999242,83.5253866619922
"5","JA8","twoStreams",0.732300030964768,9.66408631738172,82.9325639158905
"6","LH9","twoStreams",0.729667212934119,76.9069506925326,76.6551820515017
"7","LS2","twoStreams",0.712276285402602,35.7208233397655,77.1815629113828
"8","LT5","twoStreams",0.913665216167069,59.4018892113881,66.3839449684408
"9","RN12","twoStreams",0.448254764477983,69.8717919003131,43.5182377629461
"10","YZ15","twoStreams",0.674748286626864,43.1145870824165,86.3245456241732
"11","AJ7","eightStreams",0.834071198570375,90.3903192843015,64.1497732324243
"12","AN14","eightStreams",0.725066589077625,132.527184330772,69.5682531219266
"13","BB6","eightStreams",0.790536534944502,56.1991429372437,30.334938098922
"14","IK4","eightStreams",0.660625643894543,100.061970897445,46.4622526350563
"15","JA8","eightStreams",0.741334683468967,71.2026926303171,52.4866200716696
"16","LH9","eightStreams",0.816506712530745,104.256885990115,72.1478060943903
"17","LS2","eightStreams",0.864607362254167,93.5067767605475,47.6352454189498
"18","LT5","eightStreams",0.901030828022772,80.9094231421035,40.9084333455861
"19","RN12","eightStreams",0.547046724039702,79.6612964411423,45.8611598640815
"20","YZ15","eightStreams",0.698444176369703,97.3721469325749,47.2508058165733
